Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ANIK,Anika Therapeutics Inc.,Healthcare,"2,664.0%",0,N/A,N/A,$0.00,$393.13,N/A,0.0%,,$32.51,21.44
ANIP,ANI Pharmaceuticals Inc,Healthcare,"5,173.0%",0,N/A,N/A,$0.00,$929.24,N/A,0.0%,,$52.80,27.59
ANTX,AN2 Therapeutics Inc,N/A,745.0%,0,N/A,N/A,$0.00,$144.73,0,N/A,,$22.49,4.87
AOMR,Angel Oak Mortgage REIT Inc,N/A,774.0%,0.1707541964,N/A,N/A,$1.32,$192.57,0,N/A,,$13.61,4.07
AORT,Artivion Inc,N/A,"1,583.0%",0,N/A,N/A,$0.00,$647.45,N/A,0.0%,,$23.43,9.64
AOSL,Alpha & Omega Semiconductor Ltd,Technology,"2,991.0%",0,N/A,N/A,$0.00,$822.19,29,0.0%,,$45.89,20.64
APAM,Artisan Partners Asset Management Inc,Financial Services,"3,625.0%",0.05517241379,-16.7%,-3.6%,$2.16,"$2,481.50",14,78.1%,,$39.35,24.61
APEI,American Public Education Inc,Consumer Defensive,449.0%,0,N/A,N/A,$0.00,$79.56,N/A,0.0%,,$16.79,3.76
APG,APi Group Corporation,N/A,"2,544.0%",0,N/A,N/A,$0.00,"$5,983.82",0,N/A,,$25.97,13.09
APLD,Applied Digital Corporation,Industrials,809.0%,0,N/A,N/A,$0.00,$775.90,0,N/A,,$11.62,0.85
APLE,Apple Hospitality REIT Inc,Real Estate,"1,436.0%",0.06685236769,0.0%,51.6%,$0.86,"$3,288.63",21,123.6%,,$17.94,13.25
APLS,Apellis Pharmaceuticals Inc,Healthcare,"8,529.0%",0,N/A,N/A,$0.00,"$9,932.62",0,N/A,,$94.75,42.15
APOG,Apogee Enterprises Inc.,Industrials,"4,689.0%",0.0204734485,9.1%,8.8%,$0.91,"$1,044.96",10,19.6%,1.0,$48.79,35.6
APPF,Appfolio Inc,Technology,"16,602.0%",0,N/A,N/A,$0.00,"$3,447.67",N/A,0.0%,,$178.10,86.72
APPH,AppHarvest Inc,N/A,36.0%,0,N/A,N/A,$0.00,$55.84,0,N/A,,$4.84,0.32
APPN,Appian Corp,Technology,"4,729.0%",0,N/A,N/A,$0.00,"$1,970.29",N/A,0.0%,,$57.47,29.8
APPS,Digital Turbine Inc,Technology,783.0%,0,N/A,N/A,$0.00,$782.89,47,0.0%,,$25.00,7.72
ARCB,ArcBest Corp,Industrials,"8,537.0%",0.005600887436,0.0%,8.4%,$0.48,"$2,044.88",7,4.0%,1.4,$104.58,66.83
ARCH,Arch Resources Inc,Energy,"11,148.0%",0.1483789902,N/A,N/A,$16.54,"$2,081.79",2,27.1%,,$173.06,102.42
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,"2,394.0%",0,N/A,N/A,$0.00,$635.92,0,N/A,,$33.80,13.02
AREN,Arena Group Holdings Inc (The),N/A,366.0%,0,N/A,N/A,$0.00,$80.52,0,N/A,,$16.50,3.32
ARGO,Argo Group International Holdings Ltd,Financial Services,"2,951.0%",0.02088592591,N/A,N/A,$0.62,"$1,037.85",N/A,N/A,,$39.09,18.78
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,"1,073.0%",0.1304753029,0.0%,-5.3%,$1.33,"$1,516.61",5,79.0%,,$12.27,7.37
ARIS,Aris Water Solutions Inc,N/A,920.0%,0.03859004488,N/A,N/A,$0.36,$276.68,0,N/A,,$22.87,6.63
ARKO,ARKO Corp,N/A,766.0%,0.0142427974,N/A,N/A,$0.11,$921.54,0,N/A,0.7,$10.65,6.64
ARL,American Realty Investors Inc.,Real Estate,"2,200.0%",0,N/A,N/A,$0.00,$355.34,1,0.0%,,$31.59,13.35
ARLO,Arlo Technologies Inc,Industrials,917.0%,0,N/A,N/A,$0.00,$842.19,0,N/A,,$10.12,2.93
ARNC,Arconic Corporation,Industrials,"2,928.0%",0,N/A,N/A,$0.00,"$2,935.22",N/A,0.0%,,$30.68,16.33
AROC,Archrock Inc,Energy,994.0%,0.05799812807,3.4%,2.6%,$0.58,"$1,557.55",27,153.8%,,$11.32,5.98
AROW,Arrow Financial Corp.,Financial Services,"2,117.0%",0.0510155881,0.0%,0.8%,$1.04,$349.91,7,37.2%,0.8,$34.85,17.13
ARQT,Arcutis Biotherapeutics Inc,Healthcare,878.0%,0,N/A,N/A,$0.00,$539.29,0,N/A,,$27.40,7.25
ARR,ARMOUR Residential REIT Inc,Real Estate,509.0%,0.1886051081,-20.0%,-4.4%,$1.02,$995.16,N/A,N/A,,$6.69,3.77
ARRY,Array Technologies Inc,N/A,"2,083.0%",0,N/A,N/A,$0.00,"$3,142.27",0,N/A,,$24.99,9.24
ARTNA,Artesian Resources Corp.,Utilities,"4,795.0%",0.02377476538,4.1%,3.2%,$1.10,$447.08,26,60.7%,0.5,$62.07,44.3
ARVN,Arvinas Inc,Healthcare,"2,547.0%",0,N/A,N/A,$0.00,"$1,360.06",0,N/A,,$58.58,21.21
ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,"3,524.0%",0,N/A,N/A,$0.00,"$3,767.17",N/A,0.0%,,$48.48,23.09
ASAN,Asana Inc,N/A,"2,253.0%",0,N/A,N/A,$0.00,"$4,793.80",N/A,0.0%,,$29.51,11.32
ASB,Associated Banc-Corp.,Financial Services,"1,564.0%",0.0537084399,5.0%,7.0%,$0.82,"$2,359.93",6,32.3%,,$24.72,14.27
ASC,Ardmore Shipping Corp,Energy,"1,258.0%",0.06359300335,N/A,N/A,$0.80,$511.08,0,N/A,,$19.41,6.17
ASGN,ASGN Inc,Industrials,"7,032.0%",0,N/A,N/A,$0.00,"$3,466.78",14,0.0%,,$106.88,63.27
ASIX,AdvanSix Inc,Basic Materials,"3,391.0%",0.01700314316,N/A,N/A,$0.58,$934.72,7,11.6%,,$44.22,30.34
ASLE,AerSale Corp,N/A,"1,508.0%",0,N/A,N/A,$0.00,$772.42,0,N/A,,$21.76,13.74
ASO,Academy Sports and Outdoors Inc,N/A,"4,976.0%",0.006608744282,N/A,N/A,$0.33,"$3,804.41",7,4.7%,1.2,$68.78,33.56
ASPN,Aspen Aerogels Inc.,Industrials,703.0%,0,N/A,N/A,$0.00,$492.88,0,N/A,,$15.71,5.41
ASTE,Astec Industries Inc.,Industrials,"4,296.0%",0.0117722607,8.3%,3.4%,$0.51,$975.87,124,145.7%,1.2,$48.99,30.57
ASTR,Astra Space Inc,N/A,36.0%,0,N/A,N/A,$0.00,$77.57,0,N/A,,$1.91,0.3448
ATEC,Alphatec Holdings Inc,Healthcare,"1,625.0%",0,N/A,N/A,$0.00,"$1,925.57",N/A,0.0%,,$17.13,5.73
ATEN,A10 Networks Inc,Technology,"1,452.0%",0.01574846704,N/A,N/A,$0.23,"$1,074.48",24,39.5%,,$19.56,12.47
ATER,Aterian Inc,N/A,44.3%,0,N/A,N/A,$0.00,$36.16,0,N/A,,$3.58,0.443
ATEX,Anterix Inc,Communication Services,"3,167.0%",0,N/A,N/A,$0.00,$603.08,0,N/A,,$49.61,27.59
ATGE,Adtalem Global Education Inc,Consumer Defensive,"3,495.0%",0,N/A,N/A,$0.00,"$1,524.14",19,0.0%,,$44.40,34.45
ATHA,Athira Pharma Inc,N/A,294.0%,0,N/A,N/A,$0.00,$111.57,0,N/A,,$4.41,2.22
ATI,ATI Inc,Industrials,"3,925.0%",0,N/A,N/A,$0.00,"$5,045.50",30,0.0%,,$43.32,20.52
ATIP,ATI Physical Therapy Inc,N/A,"1,113.0%",0,N/A,N/A,$0.00,"$2,320.56",0,N/A,,$91.00,7.55
ATKR,Atkore Inc,Industrials,"14,430.0%",0,N/A,N/A,$0.00,"$5,564.16",7,0.0%,,$154.86,70.5
ATLC,Atlanticus Holdings Corp,Financial Services,"4,019.0%",0,N/A,N/A,$0.00,$581.32,6,0.0%,,$43.00,21.65
ATNI,ATN International Inc,Communication Services,"3,613.0%",0.02089158625,23.5%,4.3%,$0.75,$568.63,N/A,N/A,,$50.00,34.4
ATOM,Atomera Inc,Technology,744.0%,0,N/A,N/A,$0.00,$181.63,0,N/A,,$15.10,5.03
ATRA,Atara Biotherapeutics Inc,Healthcare,176.0%,0,N/A,N/A,$0.00,$172.43,0,N/A,,$9.34,1.45
ATRC,Atricure Inc,Healthcare,"4,787.0%",0,N/A,N/A,$0.00,"$2,259.46",0,N/A,,$52.96,32.51
ATRI,Atrion Corp.,Healthcare,"59,520.0%",0.01444892473,10.3%,9.8%,$8.53,"$1,047.85",35,50.6%,0.6,$698.10,496.36
ATRO,Astronics Corp.,Industrials,"1,844.0%",0,N/A,N/A,$0.00,$486.77,N/A,0.0%,,$20.19,7.46
ATSG,Air Transport Services Group Inc,Industrials,"1,862.0%",0,N/A,N/A,$0.00,"$1,332.74",8,0.0%,,$34.00,14.39
AUB,Atlantic Union Bankshares Corp,Financial Services,"2,629.0%",0.02268922644,0.0%,5.5%,$0.60,"$1,971.61",9,20.8%,,$40.56,23.05
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,923.0%,0,N/A,N/A,$0.00,"$1,320.20",0,N/A,,$12.60,4.07
AURA,Aura Biosciences Inc,N/A,"1,260.0%",0,N/A,N/A,$0.00,$476.28,0,N/A,,$24.83,8.13
AVA,Avista Corp.,Utilities,"3,842.0%",0.04789172306,4.5%,4.3%,$1.77,"$2,910.83",21,94.7%,,$44.64,34.52
AVAH,Aveanna Healthcare Holdings Inc,N/A,185.0%,0,N/A,N/A,$0.00,$349.39,0,N/A,,$2.72,0.6664
AVAV,AeroVironment Inc.,Industrials,"9,089.0%",0,N/A,N/A,$0.00,"$2,296.25",N/A,0.0%,,$112.39,70.08
AVD,American Vanguard Corp.,Basic Materials,"1,722.0%",0.004929709636,N/A,N/A,$0.08,$506.53,26,12.9%,,$24.28,15.01
AVDX,AvidXchange Holdings Inc,Healthcare,"1,016.0%",0,N/A,N/A,$0.00,"$2,044.69",0,N/A,,$11.86,5.86
AVID,"Avid Technology, Inc.",Communication Services,"2,434.0%",0,N/A,N/A,$0.00,"$1,068.72",24,0.0%,,$33.41,19.78
AVIR,Atea Pharmaceuticals Inc,N/A,396.0%,0,N/A,N/A,$0.00,$330.26,0,N/A,,$9.79,2.94
AVNS,Avanos Medical Inc,Healthcare,"2,588.0%",0,N/A,N/A,$0.00,"$1,207.74",27,0.0%,,$31.99,19.32
AVNT,Avient Corp,N/A,"3,864.0%",0.02562111801,4.2%,7.2%,$0.97,"$3,519.04",6,14.0%,,$48.46,27.11
AVNW,Aviat Networks Inc,Technology,"3,108.0%",0,N/A,N/A,$0.00,$355.58,28,0.0%,,$39.80,21.15
AVO,Mission Produce Inc,N/A,"1,210.0%",0,N/A,N/A,$0.00,$856.51,0,N/A,,$16.96,9.81
AVPT,AvePoint Inc,N/A,606.0%,0,N/A,N/A,$0.00,"$1,168.45",0,N/A,,$6.93,3.4
AVTA,Avantax Inc,N/A,"2,239.0%",0,N/A,N/A,$0.00,$863.99,2,0.0%,,$30.23,16.89
AVTE,Aerovate Therapeutics Inc,N/A,"1,600.0%",0,N/A,N/A,$0.00,$398.72,0,N/A,,$30.79,13.5
AVXL,Anavex Life Sciences Corporation,Healthcare,816.0%,0,N/A,N/A,$0.00,$659.64,0,N/A,,$15.24,7.44
